Codification;Commune;Edifice;Edifice_standard;Type_edifice;Codification_edifice;Nom_departement;Code_depertament;Nom_region;Code_insee;Commune_insee;Ancienne_commune;Adresse;Désignation;Livre;Pages_pdf;Pages_livre;Pages_livre_complement;Commentaire;Log;Site_ref;Latitude;Longitude;OSM_type;OSM_id;OSM_latitude;OSM_longitude;Orgbase_manu;Orgbase_commune;Orgbase_auto;Orgbase_desc;Orgbase_edifice;Orgbase_facteurs;Orgbase_minicompo;Orgbase_edifice_standard;Orgbase_edifice_log;Orgbase_commune_insee;Reference_palissy;denomination_palissy;Edifice_palissy;protection_palissy;Résumé;Propriétaire;Organisme;Lien de référence;Polyphone;Etat;Elévation;Buffet;Console;Commentaire admin;Diapason;Sommiers;Soufflerie;Transmission notes;Transmission commentaire;Tirage jeux;Tirage commentaire;Commentaire tuyauterie;Evènements;Accessoires;Claviers;Images;Sources;id;user;url
FR-75056-PARIS-3E_ARR1-A;Paris;conservatoire du 3E Arrondissement;du 3E Arrondissement;conservatoire;3E_ARR;Paris;75;Île-de-France;75056;Paris;;13ème arrondissement;orgue d'étude;Orgues de l'Ile-de-France -- tome 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-,_IIII1-1;Lyon;conservatoire national de région , I;, I;conservatoire national de région;,_IIII;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;5ème arrondissement;I;Les Orgues du Rhône (Lyon);334-335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-,_IIII1-2;Lyon;conservatoire national de région , Ii;, Ii;conservatoire national de région;,_IIII;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;5ème arrondissement;II;Les Orgues du Rhône (Lyon);336-337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-,_IIII1-3;Lyon;conservatoire national de région , Iii;, Iii;conservatoire national de région;,_IIII;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;5ème arrondissement;III;Les Orgues du Rhône (Lyon);338-339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-------1-X;Lyon;église évangélique luthérienne;;église évangélique luthérienne;EVANGE;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;6ème arrondissement;;Les Orgues du Rhône (Lyon);369-371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-RUE_BA1-A;Lyon;église réformée de la Rue Bancel;de la Rue Bancel;église réformée;RUE_BA;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;7ème arrondissement;Rue Bancel;Les Orgues du Rhône (Lyon);390-391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69266-VLEUR-HOTEL-1-X;Villeurbanne;Hôtel-de-Ville;Hôtel-de-Ville;None;HOTEL-;Rhône;69;Auvergne-Rhône-Alpes;69266;Villeurbanne;;;;Les Orgues du Rhône (hors Lyon);333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-71070-BUXYY-ST-JEA1-X;Buxy;communauté Saint-Jean;St-Jean;communauté;ST-JEA;Saône-et-Loire;71;Bourgogne-Franche-Comté;71070;Buxy;Rimont;;;Inventaire des orgues de Bourgogne -- Tome II;175-176;SL-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-76540-ROUEN-DU-COU1-T;Rouen;chapelle du-Couvent-des-Bénédictines-du-Saint-Sacrement;du-Couvent-des-Bénédictines-du-Saint-Sacrement;chapelle;DU-COU;Seine-Maritime;76;Normandie;76540;Rouen;;;G.O.;Orgues de Normandie -- tome 2;130-131,159;125;;;;;;;;;;;;;;;;;;;;;PM76003209,PM76001523;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-76540-ROUEN-DU-COU1-C;Rouen;chapelle du-Couvent-des-Bénédictines-du-Saint-Sacrement;du-Couvent-des-Bénédictines-du-Saint-Sacrement;chapelle;DU-COU;Seine-Maritime;76;Normandie;76540;Rouen;;;O.C.;Orgues de Normandie -- tome 2;132-133;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-76540-ROUEN-DU-COU1-X;Rouen;chapelle du-Couvent-Saint-Anne;du-Couvent-Saint-Anne;chapelle;DU-COU;Seine-Maritime;76;Normandie;76540;Rouen;;;;Orgues de Normandie -- tome 2;136-137;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-81004-ALBII-GRAND-1-X;Albi;Grand-Séminaire;Grand-Séminaire;None;GRAND-;Tarn;81;Occitanie;81004;Albi;;;;Orgues du Tarn;;TARN 001 (2);;;;;;;;;;;Aujourd'hui à Saint-Aubin-du-Cormier;;;;;;;;;;;;;;;;;Aujourd'hui à Saint-Aubin-du-Cormier;;;;;;;;;;;;;;;[];;;;;;;
FR-75056-PARIS-DU-SAI3-T;Paris;église du-Saint-Esprit;du-Saint-Esprit;église;DU-SAI;Paris;75;Île-de-France;75056;Paris;;12ème arrondissement;G.O.;Orgues de l'Ile-de-France -- tome 5;356;;;;;;48.838044577483444;2.39761260794702;way;130906379;48.838044577483444;2.39761260794702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-75056-PARIS-SSEEEE1-T;Paris;église Saint-Eugène & Sainte-Cécile;Saint-Eugène & Sainte-Cécile;église;SSEEEE;Paris;75;Île-de-France;75056;Paris;;9ème arrondissement;G.O.;Orgues de l'Ile-de-France -- tome 5;;;;;;;;;;;;;;;;;;;;;;;PM75004247,PM75002703;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69044-C_BAI-ND1'AS1-X;Charbonnières-les-Bains;église Notre-Dame-de-1'Assomption;Notre-Dame-de-1'Assomption;église;ND1'AS;Rhône;69;Auvergne-Rhône-Alpes;69044;Charbonnières-les-Bains;;;;Les Orgues du Rhône (hors Lyon);148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
FR-69123-LYONN-HOTEL-1-X;Lyon;chapelle de l’Hôtel-Dieu;de l’Hôtel-Dieu;chapelle;HOTEL-;Rhône;69;Auvergne-Rhône-Alpes;69123;Lyon;;2ème arrondisssement;;Les Orgues du Rhône (Lyon);200-207;;;;;;45.75918387111111;4.836146395555557;way;112734769;45.75918387111111;4.836146395555557;;;;;;;;;;;,PM69001643;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;
